"seller_id","seller_city","seller_state","total_orders","total_items_sold","unique_products_sold","total_product_revenue","total_freight_value","total_revenue","average_review_score"
"08f5819815f3d06545011850bd70f0a8","santos","SP",3,3,3,452.00,70.83,522.83,4.67
"091065b789659bc3cd9af9cb3a6253ff","canoas","RS",2,2,1,1359.00,85.37,1444.37,3.50
"0936e1837d0c79253456bbb2ffaaef10","sao paulo","SP",1,2,1,38.90,31.12,70.02,5.00
"093805f8f2aeb63881444571e1f48f30","osasco","SP",22,27,18,1215.79,343.94,1559.73,3.81
"094ced053e257ae8cae57205592d6712","ribeirao preto","SP",19,19,13,1519.20,459.03,1978.23,4.05
"0951a6e282947e09cd47969f4ed0b47f","taboao da serra","SP",7,7,2,492.30,88.02,580.32,4.86
"09883d9ab71c8fe8a9bfc7fc3075b07e","sao paulo","SP",5,5,5,329.50,76.67,406.17,3.40
"099095b050cfe8eb1ddff5317587e96e","sao paulo","SP",17,20,11,5193.83,715.32,5909.15,2.95
"09bad886111255c5b5030314fc7f1a4a","sao paulo","SP",5,5,1,487.50,72.86,560.36,5.00
"09f952a5f58d2285b0372551ae8f9b01","sao bernardo do campo","SP",50,56,11,11821.50,1524.96,13346.46,3.88
"0a198e95d32b1be2da9424c962a6ebfa","contagem","MG",1,1,1,69.99,16.68,86.67,5.00
"0a82f5fb06a4fe4ac2cf7cb412ec71b8","sao paulo","SP",2,2,2,462.00,22.80,484.80,5.00
"0a85ebe4e328db81ac9109781205e2f7","jundiai","SP",12,12,8,667.90,137.75,805.65,4.58
"0aa124728afc1131dff5655f4c6f487b","alfenas","MG",2,2,2,850.92,107.86,958.78,1.00
"0aa2205ca24f113f4658a5c536667426","sao paulo","SP",4,11,3,815.62,172.48,988.10,2.82
"0ac4201fda2c68ebc0e47cb9423cf3c9","sao paulo","SP",13,14,4,1676.88,233.99,1910.87,4.29
"0ad80de75c811326389cfb1daba7d45e","rio de janeiro","RJ",6,6,6,1449.40,115.32,1564.72,5.00
"0adac9fbd9a2b63cccaac4f8756c1ca8","louveira","SP",110,142,66,15960.95,2499.27,18460.22,3.89
